Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Barbados,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belarus,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.09,"Children estimates were not available at the time of publication.",0.09 ,0.06 , 0.12,"Children estimates were not available at the time of publication.",0.11 ,0.08 , 0.14,"Children estimates were not available at the time of publication.",0.14 ,0.10 , 0.18,"Children estimates were not available at the time of publication.",0.17 ,0.13 , 0.21,"Children estimates were not available at the time of publication.",0.21 ,0.16 , 0.27,"Children estimates were not available at the time of publication.",0.25 ,0.19 , 0.32,"Children estimates were not available at the time of publication.",0.29 ,0.22 , 0.36,"Children estimates were not available at the time of publication.",0.31 ,0.23 , 0.39,"Children estimates were not available at the time of publication.",0.34 ,0.25 , 0.43,"Children estimates were not available at the time of publication.",0.36 ,0.27 , 0.46,"Children estimates were not available at the time of publication.",0.37 ,0.28 , 0.47,"Children estimates were not available at the time of publication.",0.39 ,0.28 , 0.49,"Children estimates were not available at the time of publication.",0.41 ,0.29 , 0.51,"Children estimates were not available at the time of publication.",0.41 ,0.29 , 0.52,"Children estimates were not available at the time of publication.",0.41 ,0.29 , 0.52,"Children estimates were not available at the time of publication.",0.40 ,0.28 , 0.51,"Children estimates were not available at the time of publication.",0.38 ,0.27 , 0.49,"Children estimates were not available at the time of publication.",0.36 ,0.24 , 0.46,"Children estimates were not available at the time of publication.",0.32 ,0.21 , 0.44,"Children estimates were not available at the time of publication.",0.28 ,0.18 , 0.40,"Children estimates were not available at the time of publication.",0.24 ,0.15 , 0.37,"Children estimates were not available at the time of publication."
Belgium,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Belize,0.05 ,0.01 , 0.12,,0.12 ,0.04 , 0.23,,0.24 ,0.10 , 0.44,,0.47 ,0.23 , 0.79,,0.84 ,0.43 , 1.30,,1.31 ,0.69 , 2.05,,1.79 ,1.05 , 2.76,,2.13 ,1.25 , 3.15,,2.25 ,1.37 , 3.49,,2.19 ,1.28 , 3.42,,2.03 ,1.19 , 3.11,,1.86 ,1.09 , 2.86,,1.70 ,0.98 , 2.57,,1.56 ,0.88 , 2.35,,1.44 ,0.80 , 2.17,,1.38 ,0.76 , 2.11,,1.30 ,0.73 , 1.90,,1.25 ,0.71 , 1.90,,1.21 ,0.70 , 1.81,,1.16 ,0.69 , 1.77,,1.11 ,0.64 , 1.73,,1.08 ,0.63 , 1.75,,1.07 ,0.62 , 1.61,,1.06 ,0.61 , 1.68,,1.03 ,0.56 , 1.57,,1.01 ,0.58 , 1.61,,0.98 ,0.54 , 1.65,,0.95 ,0.49 , 1.67,,0.93 ,0.47 , 1.74,,0.90 ,0.45 , 1.70,,0.87 ,0.44 , 1.60,
Benin,1.86 ,1.36 , 2.44,,2.04 ,1.58 , 2.55,,2.06 ,1.66 , 2.54,,2.06 ,1.69 , 2.51,,2.01 ,1.64 , 2.40,,1.92 ,1.58 , 2.31,,1.80 ,1.48 , 2.17,,1.75 ,1.45 , 2.12,,1.61 ,1.31 , 1.93,,1.52 ,1.24 , 1.83,,1.41 ,1.15 , 1.68,,1.33 ,1.10 , 1.59,,1.26 ,1.05 , 1.51,,1.18 ,0.99 , 1.42,,1.14 ,0.96 , 1.37,,1.06 ,0.88 , 1.28,,1.03 ,0.87 , 1.25,,0.99 ,0.84 , 1.21,,0.89 ,0.75 , 1.10,,0.75 ,0.60 , 0.97,,0.68 ,0.54 , 0.91,,0.62 ,0.48 , 0.85,,0.54 ,0.41 , 0.78,,0.50 ,0.37 , 0.75,,0.51 ,0.39 , 0.76,,0.48 ,0.36 , 0.71,,0.43 ,0.32 , 0.66,,0.39 ,0.29 , 0.61,,0.36 ,0.26 , 0.58,,0.32 ,0.22 , 0.53,,0.27 ,0.19 , 0.46,
Bhutan,0.04 ,<0.01 , 0.11,,0.05 ,<0.01 , 0.14,,0.06 ,<0.01 , 0.19,,0.08 ,<0.01 , 0.24,,0.10 ,0.01 , 0.33,,0.13 ,0.01 , 0.39,,0.17 ,0.02 , 0.48,,0.21 ,0.04 , 0.51,,0.29 ,0.06 , 0.65,,0.33 ,0.07 , 0.79,,0.40 ,0.08 , 1.06,,0.37 ,0.07 , 0.94,,0.42 ,0.09 , 1.13,,0.39 ,0.09 , 1.11,,0.37 ,0.10 , 1.15,,0.35 ,0.10 , 1.06,,0.32 ,0.09 , 0.95,,0.31 ,0.09 , 0.85,,0.29 ,0.09 , 0.74,,0.28 ,0.09 , 0.68,,0.25 ,0.08 , 0.61,,0.24 ,0.08 , 0.61,,0.23 ,0.08 , 0.55,,0.22 ,0.07 , 0.51,,0.20 ,0.06 , 0.50,,0.20 ,0.06 , 0.51,,0.18 ,0.05 , 0.49,,0.17 ,0.05 , 0.50,,0.16 ,0.04 , 0.53,,0.15 ,0.03 , 0.57,,0.14 ,0.03 , 0.56,
Bolivia (Plurinational State of),0.08 ,0.03 , 0.19,,0.09 ,0.04 , 0.21,,0.10 ,0.05 , 0.24,,0.12 ,0.06 , 0.24,,0.17 ,0.09 , 0.28,,0.25 ,0.13 , 0.43,,0.33 ,0.18 , 0.55,,0.37 ,0.23 , 0.59,,0.34 ,0.19 , 0.50,,0.28 ,0.16 , 0.44,,0.24 ,0.16 , 0.39,,0.20 ,0.15 , 0.33,,0.19 ,0.15 , 0.29,,0.18 ,0.15 , 0.24,,0.19 ,0.15 , 0.23,,0.18 ,0.15 , 0.22,,0.18 ,0.15 , 0.22,,0.18 ,0.15 , 0.22,,0.19 ,0.16 , 0.22,,0.19 ,0.15 , 0.22,,0.18 ,0.15 , 0.22,,0.19 ,0.15 , 0.22,,0.19 ,0.15 , 0.22,,0.19 ,0.15 , 0.22,,0.19 ,0.15 , 0.22,,0.18 ,0.15 , 0.22,,0.17 ,0.14 , 0.21,,0.17 ,0.13 , 0.20,,0.16 ,0.13 , 0.20,,0.14 ,0.11 , 0.18,,0.13 ,0.10 , 0.17,
Bosnia and Herzegovina,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Botswana,24.63 ,21.86 , 27.52,,33.31 ,30.45 , 36.08,,40.74 ,37.97 , 43.72,,46.97 ,44.01 , 49.80,,50.17 ,47.03 , 53.02,,50.47 ,47.55 , 53.31,,48.35 ,45.60 , 51.21,,44.50 ,42.03 , 47.92,,40.38 ,38.03 , 44.03,,36.00 ,33.73 , 40.06,,32.00 ,29.85 , 36.48,,28.79 ,26.50 , 33.14,,25.81 ,23.43 , 30.05,,23.23 ,20.87 , 27.27,,20.97 ,18.54 , 24.61,,18.83 ,16.46 , 21.93,,17.46 ,15.17 , 20.12,,16.07 ,13.97 , 18.44,,15.42 ,13.57 , 17.30,,14.66 ,12.97 , 16.29,,13.76 ,12.28 , 15.14,,12.92 ,11.49 , 14.17,,12.15 ,10.73 , 13.39,,11.12 ,9.73 , 12.31,,10.59 ,9.29 , 11.70,,10.41 ,9.09 , 11.50,,9.68 ,8.39 , 10.87,,8.98 ,7.64 , 10.24,,8.61 ,7.21 , 10.01,,7.94 ,6.49 , 9.44,,7.51 ,6.07 , 9.27,
Brazil,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Burkina Faso,4.30 ,2.92 , 5.99,,3.70 ,2.74 , 5.05,,3.39 ,2.52 , 4.69,,2.87 ,2.10 , 4.06,,2.35 ,1.75 , 3.28,,2.02 ,1.53 , 2.82,,1.70 ,1.28 , 2.35,,1.53 ,1.18 , 2.00,,1.35 ,1.04 , 1.73,,1.12 ,0.85 , 1.42,,0.97 ,0.71 , 1.24,,0.83 ,0.61 , 1.08,,0.72 ,0.55 , 0.95,,0.65 ,0.49 , 0.87,,0.59 ,0.44 , 0.79,,0.53 ,0.39 , 0.71,,0.47 ,0.35 , 0.64,,0.42 ,0.31 , 0.57,,0.38 ,0.28 , 0.52,,0.34 ,0.24 , 0.45,,0.30 ,0.20 , 0.41,,0.26 ,0.18 , 0.36,,0.23 ,0.15 , 0.33,,0.20 ,0.14 , 0.31,,0.18 ,0.12 , 0.27,,0.15 ,0.10 , 0.24,,0.13 ,0.08 , 0.21,,0.11 ,0.06 , 0.18,,0.09 ,0.05 , 0.15,,0.09 ,0.05 , 0.15,,0.07 ,0.04 , 0.13,
Burundi,8.92 ,6.12 , 13.53,,7.97 ,5.90 , 10.98,,7.47 ,5.62 , 10.36,,6.01 ,4.43 , 8.49,,4.89 ,3.63 , 7.06,,4.18 ,3.23 , 5.82,,3.39 ,2.71 , 4.41,,2.91 ,2.35 , 3.69,,2.47 ,2.00 , 3.08,,2.03 ,1.61 , 2.52,,1.78 ,1.38 , 2.26,,1.53 ,1.17 , 1.98,,1.34 ,1.00 , 1.78,,1.15 ,0.86 , 1.56,,0.99 ,0.74 , 1.38,,0.85 ,0.62 , 1.19,,0.81 ,0.57 , 1.12,,0.72 ,0.48 , 0.98,,0.66 ,0.44 , 0.89,,0.64 ,0.41 , 0.85,,0.58 ,0.37 , 0.77,,0.52 ,0.32 , 0.69,,0.47 ,0.29 , 0.65,,0.43 ,0.26 , 0.60,,0.39 ,0.23 , 0.56,,0.35 ,0.21 , 0.50,,0.30 ,0.18 , 0.46,,0.24 ,0.14 , 0.38,,0.19 ,0.10 , 0.30,,0.15 ,0.09 , 0.26,,0.13 ,0.07 , 0.22,
Cabo Verde,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Cambodia,0.05 ,0.05 , 0.06,,0.16 ,0.14 , 0.19,,0.49 ,0.42 , 0.57,,1.09 ,0.92 , 1.26,,1.84 ,1.56 , 2.13,,2.44 ,2.07 , 2.82,,2.65 ,2.27 , 3.06,,2.50 ,2.16 , 2.88,,2.13 ,1.85 , 2.45,,1.69 ,1.47 , 1.93,,1.26 ,1.11 , 1.43,,0.89 ,0.79 , 1.01,,0.73 ,0.65 , 0.83,,0.64 ,0.57 , 0.73,,0.55 ,0.49 , 0.62,,0.47 ,0.42 , 0.53,,0.39 ,0.35 , 0.44,,0.33 ,0.29 , 0.37,,0.27 ,0.24 , 0.31,,0.24 ,0.21 , 0.27,,0.21 ,0.19 , 0.23,,0.18 ,0.16 , 0.20,,0.16 ,0.15 , 0.18,,0.15 ,0.14 , 0.17,,0.14 ,0.13 , 0.16,,0.14 ,0.12 , 0.15,,0.13 ,0.12 , 0.15,,0.13 ,0.11 , 0.14,,0.12 ,0.10 , 0.13,,0.12 ,0.10 , 0.13,,0.11 ,0.10 , 0.13,
Cameroon,2.63 ,2.11 , 3.13,,3.35 ,2.81 , 3.98,,4.13 ,3.56 , 4.97,,5.07 ,4.34 , 6.07,,5.92 ,5.01 , 6.95,,6.60 ,5.63 , 7.57,,7.16 ,6.29 , 8.09,,7.50 ,6.79 , 8.42,,7.72 ,6.93 , 8.87,,7.30 ,6.35 , 8.45,,6.89 ,6.03 , 7.96,,6.17 ,5.42 , 7.08,,5.65 ,4.98 , 6.41,,4.98 ,4.38 , 5.65,,4.52 ,3.92 , 5.17,,4.12 ,3.54 , 4.74,,3.80 ,3.28 , 4.37,,3.49 ,3.00 , 4.00,,3.26 ,2.82 , 3.78,,3.06 ,2.68 , 3.56,,2.79 ,2.44 , 3.25,,2.55 ,2.21 , 2.97,,2.30 ,1.98 , 2.73,,2.08 ,1.75 , 2.50,,1.92 ,1.62 , 2.32,,1.75 ,1.46 , 2.12,,1.55 ,1.29 , 1.90,,1.33 ,1.09 , 1.66,,1.10 ,0.88 , 1.40,,0.95 ,0.74 , 1.22,,0.81 ,0.62 , 1.07,
Canada,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Central African Republic,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Chad,2.56 ,1.60 , 3.87,,3.00 ,2.02 , 4.43,,3.29 ,2.35 , 4.73,,3.25 ,2.39 , 4.46,,3.20 ,2.31 , 4.27,,2.98 ,2.12 , 3.92,,2.90 ,2.09 , 3.83,,2.65 ,1.90 , 3.40,,2.33 ,1.69 , 2.97,,2.19 ,1.63 , 2.79,,1.96 ,1.47 , 2.48,,1.83 ,1.39 , 2.30,,1.68 ,1.28 , 2.11,,1.55 ,1.20 , 1.94,,1.48 ,1.17 , 1.85,,1.38 ,1.11 , 1.73,,1.27 ,1.01 , 1.57,,1.17 ,0.91 , 1.45,,1.13 ,0.86 , 1.44,,0.97 ,0.72 , 1.25,,0.88 ,0.65 , 1.16,,0.80 ,0.57 , 1.06,,0.76 ,0.55 , 1.03,,0.71 ,0.51 , 0.98,,0.66 ,0.47 , 0.93,,0.57 ,0.40 , 0.82,,0.49 ,0.33 , 0.73,,0.47 ,0.32 , 0.72,,0.45 ,0.31 , 0.69,,0.40 ,0.26 , 0.62,,0.34 ,0.21 , 0.54,
